geek_rate,title,num_votes,avg_rate,id
6.712,A Game of Thrones: The Card Game,5180,6.98,39953
6.712,Witch's Brew,3278,7.05,34084
6.708,Eight-Minute Empire: Legends,2735,7.12,142326
6.705,Merchant of Venus,2398,7.18,230
6.705,Hamburgum,2773,7.08,30381
6.703,Haggis,3198,7.04,37628
6.702,Steam Park,3867,7.00,121410
6.702,Warhammer Quest,1951,7.40,1634
6.702,Evolution: CLIMATE,914,8.01,182134
6.701,Black Fleet,2727,7.12,157403
6.701,Incan Gold,7517,6.85,37759
6.700,Telestrations: 12 Player Party Pack,946,7.85,153016
6.698,Eat Poop You Cat,1355,7.47,30618
6.698,"Hey, That's My Fish!",14959,6.78,8203
6.695,Viceroy,3157,7.05,157526
6.695,Andean Abyss,1238,7.58,91080
6.695,Liberté,2218,7.18,2507
6.695,Power Grid: Factory Manager,5168,6.91,44163
6.695,Ambush!,1785,7.37,1608
6.694,Rhino Hero,2980,7.06,91514
6.694,Fleet,3420,7.01,121297
6.692,Qwirkle,9943,6.82,25669
6.692,Quarriors!,11201,6.83,91536
6.691,Signorie,1230,7.57,177678
6.690,Strasbourg,2059,7.20,91873
6.688,Guildhall,3114,7.04,132372
6.688,No Retreat! The Russian Front,989,7.81,68264
6.687,Julius Caesar,1005,7.81,37836
6.687,Hacienda,3698,6.98,19100
6.686,The Werewolves of Miller's Hollow,6864,6.89,25821
6.685,Ikusa,4221,7.01,221
6.684,Diamonds,3114,7.03,152162
6.682,Tyrants of the Underdark,868,8.00,189932
6.682,The New Era,1142,7.65,96007
6.681,For the People,1127,7.67,833
6.681,Advanced Squad Leader: Starter Kit #2,927,7.88,15126
6.681,FUSE,2013,7.24,171273
6.680,Runebound (Second Edition),7041,6.90,21523
6.678,Hansa,4525,6.91,8989
